cluster,size,survival_std,survival_bd,improvement
Dendritic cell_16,132,0.946969696969697,0.9924242424242424,0.045454545454545414
Plasma cell_8,278,0.935251798561151,0.9640287769784173,0.02877697841726623
Macrophage_17,813,0.6703567035670357,0.982779827798278,0.3124231242312423
Macrophage_26,422,0.8412322274881516,1.0,0.15876777251184837
Plasma cell_13,139,0.9496402877697842,0.9712230215827338,0.021582733812949617
Dendritic cell_7,322,0.6987577639751553,0.7018633540372671,0.0031055900621117516
T cell_19,647,0.9258114374034003,0.9474497681607419,0.021638330757341562
Macrophage_6,2056,0.1872568093385214,0.5578793774319066,0.37062256809338523
Plasma cell_7,314,0.8726114649681529,0.9936305732484076,0.12101910828025475
Macrophage_1,2478,0.4794188861985472,0.7288135593220338,0.24939467312348662
B cell_4,508,0.7381889763779528,0.9409448818897638,0.202755905511811
Macrophage_14,918,0.8420479302832244,0.8583877995642701,0.016339869281045694
B cell_8,418,0.4354066985645933,0.3803827751196172,-0.055023923444976086
NK cell_3,541,0.5397412199630314,0.6524953789279113,0.11275415896487995
B cell_6,477,0.27253668763102723,0.45073375262054505,0.17819706498951782
Plasma cell_6,330,0.9272727272727272,0.9545454545454546,0.027272727272727337
T cell_14,837,0.6451612903225806,0.8064516129032258,0.16129032258064513
pDC_6,102,0.8137254901960784,0.9607843137254902,0.1470588235294118
T cell_8,1871,0.6584714056654195,0.7151256012827365,0.056654195617316994
Dendritic cell_9,292,0.6678082191780822,0.5582191780821918,-0.1095890410958904
Plasma cell_16,103,0.9514563106796117,0.970873786407767,0.01941747572815533
B cell_2,795,0.720754716981132,0.9559748427672956,0.23522012578616358
T cell_9,1721,0.45729227193492156,0.9384079023823358,0.4811156304474143
Macrophage_4,2306,0.20251517779705117,0.720294882914137,0.5177797051170858
Plasma cell_0,791,0.6662452591656132,0.7522123893805309,0.08596713021491775
Plasma cell_4,411,0.4306569343065693,0.8418491484184915,0.41119221411192214
B cell_0,975,0.7805128205128206,0.9876923076923076,0.2071794871794871
pDC_11,31,0.967741935483871,0.967741935483871,0.0
T cell_25,150,0.8466666666666667,0.9666666666666667,0.12
T cell_5,2477,0.24020993136859103,0.8433589018974565,0.6031489705288655
Dendritic cell_3,713,0.3436185133239832,0.6844319775596073,0.3408134642356241
B cell_14,193,0.38341968911917096,0.6373056994818653,0.25388601036269437
Macrophage_10,1415,0.38515901060070673,0.7024734982332156,0.31731448763250886
NK cell_1,795,0.7584905660377359,0.9786163522012579,0.22012578616352196
pDC_3,190,0.6947368421052632,0.9052631578947369,0.21052631578947367
Plasma cell_2,549,0.46083788706739526,0.7030965391621129,0.24225865209471764
Macrophage_8,1548,0.5897932816537468,0.9373385012919897,0.3475452196382429
Plasma cell_21,28,0.9642857142857143,1.0,0.0357142857142857
B cell_3,629,0.24483306836248012,0.9348171701112877,0.6899841017488076
NK cell_17,27,1.0,1.0,0.0
pDC_0,226,0.37610619469026546,0.5663716814159292,0.19026548672566373
B cell_12,256,0.57421875,0.93359375,0.359375
T cell_13,898,0.5100222717149221,0.9142538975501113,0.40423162583518923
T cell_1,2932,0.32332878581173263,0.8315143246930423,0.5081855388813097
NK cell_0,1078,0.5046382189239332,0.948051948051948,0.4434137291280148
Macrophage_22,725,0.6951724137931035,0.8248275862068966,0.1296551724137931
T cell_6,2006,0.6321036889332003,0.576271186440678,-0.05583250249252236
T cell_11,1324,0.5913897280966768,0.9493957703927492,0.35800604229607247
B cell_5,480,0.4625,0.54375,0.08124999999999993
T cell_10,1487,0.7700067249495629,0.2528581035642233,-0.5171486213853396
Mast_2,194,0.36597938144329895,0.4948453608247423,0.12886597938144334
Macrophage_2,2447,0.9399264405394361,0.9991826726604005,0.059256232120964425
T cell_0,5675,0.30431718061674007,0.5235242290748898,0.21920704845814976
Plasma cell_9,249,0.4939759036144578,0.8755020080321285,0.3815261044176707
NK cell_7,317,0.6561514195583596,0.7160883280757098,0.05993690851735012
Macrophage_7,2035,0.46044226044226044,0.9297297297297298,0.46928746928746934
Macrophage_21,762,0.5800524934383202,0.7952755905511811,0.21522309711286092
Macrophage_18,812,0.32142857142857145,0.5751231527093597,0.2536945812807882
NK cell_14,140,0.7714285714285715,0.5428571428571428,-0.22857142857142865
Macrophage_25,447,0.5123042505592841,0.8903803131991052,0.3780760626398211
Macrophage_27,346,0.6502890173410405,0.9653179190751445,0.315028901734104
Plasma cell_1,583,0.7307032590051458,0.9982847341337907,0.26758147512864494
Macrophage_20,764,0.9489528795811518,0.9973821989528796,0.048429319371727786
Plasma cell_14,131,0.4732824427480916,0.9618320610687023,0.4885496183206107
pDC_7,94,0.9042553191489362,0.5212765957446809,-0.3829787234042553
Dendritic cell_8,309,0.30097087378640774,0.627831715210356,0.3268608414239482
Macrophage_28,240,0.8208333333333333,0.7833333333333333,-0.03749999999999998
Dendritic cell_0,891,0.9629629629629629,0.957351290684624,-0.0056116722783389195
NK cell_5,399,0.3032581453634085,0.6140350877192983,0.31077694235588976
T cell_2,2853,0.2898703119523309,0.964248159831756,0.6743778478794251
Plasma cell_19,35,1.0,0.9714285714285714,-0.02857142857142858
Mast_5,130,0.8461538461538461,0.676923076923077,-0.16923076923076918
Mast_4,170,0.6411764705882353,0.9,0.2588235294117647
Macrophage_31,60,0.9666666666666667,0.9833333333333333,0.016666666666666607
NK cell_9,252,0.44047619047619047,0.6309523809523809,0.19047619047619047
NK cell_12,147,0.5034013605442177,0.8435374149659864,0.34013605442176875
T cell_3,2675,0.44672897196261685,0.9558878504672897,0.5091588785046729
Dendritic cell_12,173,0.3699421965317919,0.4682080924855491,0.09826589595375723
Plasma cell_11,155,0.3032258064516129,0.8903225806451613,0.5870967741935484
Macrophage_0,2766,0.8510484454085322,0.9229934924078091,0.07194504699927695
Mast_12,32,0.78125,0.8125,0.03125
NK cell_13,142,0.7535211267605634,0.8661971830985915,0.11267605633802813
Macrophage_9,1472,0.9721467391304348,0.9789402173913043,0.006793478260869512
Plasma cell_20,33,0.9090909090909091,0.9696969696969697,0.06060606060606066
Macrophage_29,201,0.9701492537313433,0.9900497512437811,0.01990049751243783
Mast_6,107,0.2897196261682243,0.37383177570093457,0.08411214953271029
Dendritic cell_14,144,0.9097222222222222,0.9930555555555556,0.08333333333333337
Plasma cell_10,157,0.9044585987261147,0.9554140127388535,0.05095541401273884
pDC_2,197,0.3197969543147208,0.8934010152284264,0.5736040609137056
Dendritic cell_4,631,0.9730586370839936,0.9920760697305864,0.019017432646592725
Dendritic cell_1,831,0.5896510228640193,0.614921780986763,0.02527075812274371
T cell_20,590,0.8,0.8932203389830509,0.09322033898305082
Macrophage_13,989,0.7745197168857432,0.9585439838220424,0.18402426693629925
T cell_12,1034,0.2553191489361702,0.6392649903288201,0.3839458413926499
Plasma cell_5,346,0.9682080924855492,0.9855491329479769,0.01734104046242768
Macrophage_3,2442,0.5012285012285013,0.8480753480753481,0.34684684684684686
B cell_17,119,0.2184873949579832,0.5882352941176471,0.3697478991596639
B cell_7,421,0.8717339667458432,0.9406175771971497,0.06888361045130642
Macrophage_5,2152,0.5608736059479554,0.9381970260223048,0.3773234200743494
Macrophage_24,520,0.7634615384615384,0.9538461538461539,0.19038461538461549
Dendritic cell_13,152,0.875,0.9605263157894737,0.08552631578947367
NK cell_16,49,0.8979591836734694,0.9591836734693877,0.061224489795918324
NK cell_8,278,0.9136690647482014,0.9532374100719424,0.03956834532374098
T cell_15,812,0.9002463054187192,0.9741379310344828,0.07389162561576357
Dendritic cell_2,722,0.721606648199446,0.8698060941828255,0.14819944598337953
Macrophage_12,1081,0.7539315448658649,0.782608695652174,0.028677150786309058
Dendritic cell_15,140,0.9571428571428572,0.9785714285714285,0.021428571428571352
Macrophage_19,778,0.2917737789203085,0.5269922879177378,0.2352185089974293
B cell_1,820,0.7060975609756097,0.8109756097560976,0.1048780487804879
T cell_18,670,0.49701492537313435,0.5253731343283582,0.02835820895522384
Dendritic cell_11,185,0.7567567567567568,0.9459459459459459,0.18918918918918914
pDC_10,42,0.9047619047619048,0.9761904761904762,0.0714285714285714
Mast_11,44,0.25,0.9318181818181818,0.6818181818181818
B cell_13,230,0.8956521739130435,0.8347826086956521,-0.0608695652173914
Macrophage_11,1331,0.3290758827948911,0.9646882043576258,0.6356123215627347
Dendritic cell_17,129,0.27906976744186046,0.9612403100775194,0.682170542635659
Mast_8,91,0.7912087912087912,1.0,0.20879120879120883
pDC_9,50,0.96,1.0,0.040000000000000036
Plasma cell_12,150,0.9533333333333334,0.9933333333333333,0.039999999999999925
pDC_4,187,0.48128342245989303,0.946524064171123,0.46524064171123
Plasma cell_15,127,0.4881889763779528,0.6850393700787402,0.19685039370078738
Dendritic cell_5,481,0.5509355509355509,0.8877338877338877,0.3367983367983368
pDC_5,111,0.5135135135135135,0.990990990990991,0.4774774774774775
NK cell_4,444,0.5427927927927928,0.8265765765765766,0.28378378378378377
B cell_9,302,0.5066225165562914,0.9437086092715232,0.4370860927152318
Dendritic cell_20,57,0.47368421052631576,0.8771929824561403,0.40350877192982454
Dendritic cell_6,468,0.7841880341880342,0.8846153846153846,0.1004273504273504
pDC_1,205,0.7268292682926829,0.9658536585365853,0.23902439024390243
T cell_21,504,0.9166666666666666,0.9583333333333334,0.04166666666666674
Macrophage_15,884,0.8212669683257918,0.9400452488687783,0.11877828054298645
Dendritic cell_19,57,0.24561403508771928,0.42105263157894735,0.17543859649122806
T cell_24,248,0.8790322580645161,0.9516129032258065,0.07258064516129037
pDC_13,14,1.0,1.0,0.0
NK cell_15,73,0.9452054794520548,0.958904109589041,0.013698630136986245
Mast_0,252,0.6071428571428571,0.9047619047619048,0.29761904761904767
Mast_7,102,0.803921568627451,0.7156862745098039,-0.08823529411764708
Macrophage_30,113,0.911504424778761,0.9203539823008849,0.008849557522123908
B cell_18,115,0.9478260869565217,0.991304347826087,0.0434782608695653
Mast_3,181,0.5082872928176796,0.9005524861878453,0.39226519337016574
Mast_1,204,0.7352941176470589,0.8431372549019608,0.10784313725490191
Macrophage_16,835,0.25508982035928146,0.7317365269461078,0.47664670658682634
Mast_13,25,1.0,1.0,0.0
T cell_4,2598,0.5785219399538106,0.9896073903002309,0.4110854503464203
T cell_7,1953,0.3932411674347158,0.620583717357911,0.22734254992319514
B cell_15,129,0.9302325581395349,0.7829457364341085,-0.1472868217054264
T cell_17,736,0.39266304347826086,0.9741847826086957,0.5815217391304348
Mast_10,49,0.3469387755102041,0.7346938775510204,0.38775510204081637
Macrophage_23,663,0.9260935143288085,0.9306184012066365,0.004524886877828038
Plasma cell_18,77,0.935064935064935,0.987012987012987,0.051948051948051965
Plasma cell_3,533,0.5816135084427767,0.9943714821763602,0.41275797373358347
pDC_8,92,0.782608695652174,0.9565217391304348,0.17391304347826086
Mast_9,60,0.2833333333333333,0.6833333333333333,0.4
NK cell_6,375,0.6453333333333333,0.9733333333333334,0.32800000000000007
Dendritic cell_18,81,0.8271604938271605,0.9506172839506173,0.12345679012345678
NK cell_11,161,0.6273291925465838,0.32298136645962733,-0.3043478260869565
T cell_23,394,0.9263959390862944,0.9619289340101523,0.035532994923857975
NK cell_2,594,0.4175084175084175,0.9781144781144782,0.5606060606060607
Plasma cell_17,88,0.9659090909090909,0.9772727272727273,0.011363636363636354
T cell_16,801,0.947565543071161,0.951310861423221,0.0037453183520599342
Dendritic cell_10,258,0.8488372093023255,0.9806201550387597,0.13178294573643412
pDC_12,21,1.0,1.0,0.0
B cell_10,263,0.5817490494296578,0.973384030418251,0.3916349809885932
NK cell_10,192,0.6822916666666666,0.984375,0.30208333333333337
B cell_11,258,0.5116279069767442,0.9496124031007752,0.437984496124031
T cell_22,462,0.8917748917748918,0.9696969696969697,0.07792207792207795
B cell_16,119,0.5378151260504201,0.8907563025210085,0.3529411764705883
Plasma cell_22,10,1.0,1.0,0.0
